unique_key,created_date,complaint_type,incident_zip
59674522,2023-12-07 23:38:48,Illegal Parking,11365
59671593,2023-12-07 23:38:22,Noise - Commercial,11232
59668386,2023-12-07 23:38:12,UNSANITARY CONDITION,10468
59668716,2023-12-07 23:38:03,Noise - Street/Sidewalk,10021
59666329,2023-12-07 23:38:00,Street Light Condition,11207
59674860,2023-12-07 23:38:00,Air Quality,10019
59670468,2023-12-07 23:38:00,Industrial Waste,10467
59667254,2023-12-07 23:37:29,Noise - Residential,11378
59676005,2023-12-07 23:37:26,Illegal Parking,11421
59671869,2023-12-07 23:36:58,Illegal Dumping,10303
59673066,2023-12-07 23:36:56,Noise - Commercial,11222
59667055,2023-12-07 23:36:34,Blocked Driveway,11103
59676003,2023-12-07 23:36:27,Illegal Parking,11208
59668518,2023-12-07 23:36:20,Blocked Driveway,11229
59673148,2023-12-07 23:36:18,Noise - Vehicle,10036
59675920,2023-12-07 23:36:16,Blocked Driveway,11369
59670011,2023-12-07 23:35:45,Blocked Driveway,10456
59675510,2023-12-07 23:35:37,HEAT/HOT WATER,11229
59672805,2023-12-07 23:35:28,PLUMBING,10032
59667247,2023-12-07 23:35:13,Noise - Residential,11212
59676087,2023-12-07 23:35:03,Noise - Residential,10301
59674853,2023-12-07 23:35:00,Industrial Waste,11693
59671484,2023-12-07 23:34:58,Blocked Driveway,11236
59671807,2023-12-07 23:34:51,Illegal Posting,11385
59674629,2023-12-07 23:34:29,Noise - Vehicle,11215
59667252,2023-12-07 23:34:10,Noise - Residential,11233
59669497,2023-12-07 23:33:40,ELECTRIC,11106
59671160,2023-12-07 23:33:32,HEAT/HOT WATER,10033
59674525,2023-12-07 23:33:20,Illegal Parking,11223
59668261,2023-12-07 23:33:12,HEAT/HOT WATER,10453
59669638,2023-12-07 23:33:12,HEAT/HOT WATER,10453
59668713,2023-12-07 23:33:07,Noise - Residential,10024
59665600,2023-12-07 23:32:56,Blocked Driveway,11355
59674523,2023-12-07 23:32:45,Illegal Parking,11373
59673144,2023-12-07 23:32:41,Noise - Residential,10463
59670350,2023-12-07 23:32:37,Illegal Posting,11385
59673074,2023-12-07 23:32:36,Noise - Helicopter,11357
59670196,2023-12-07 23:32:34,Noise - Residential,11226
59668240,2023-12-07 23:31:01,HEAT/HOT WATER,10462
59667154,2023-12-07 23:30:45,Illegal Parking,11205
59665771,2023-12-07 23:30:41,Noise - Residential,11216
59675555,2023-12-07 23:30:36,HEAT/HOT WATER,10034
59670113,2023-12-07 23:30:26,Illegal Parking,10465
59669577,2023-12-07 23:30:14,HEAT/HOT WATER,10469
59671808,2023-12-07 23:30:14,Illegal Posting,11385
59674620,2023-12-07 23:30:07,Noise - Residential,10457
59670208,2023-12-07 23:29:57,Noise - Vehicle,10036
59674557,2023-12-07 23:29:51,Noise - Helicopter,10025
59676082,2023-12-07 23:29:25,Noise - Residential,10463
59674627,2023-12-07 23:29:19,Noise - Residential,11211
59667169,2023-12-07 23:29:17,Noise - Commercial,10001
59667429,2023-12-07 23:29:15,Dirty Condition,11693
59674619,2023-12-07 23:28:59,Noise - Residential,11385
59670201,2023-12-07 23:28:59,Noise - Residential,11379
59669344,2023-12-07 23:28:38,Noise - Commercial,11375
59668633,2023-12-07 23:28:31,Illegal Parking,11421
59671741,2023-12-07 23:28:06,Encampment,10169
59674622,2023-12-07 23:28:06,Noise - Residential,10474
59671664,2023-12-07 23:27:44,Noise - Vehicle,10036
59666702,2023-12-07 23:27:26,HEAT/HOT WATER,10040
59668632,2023-12-07 23:27:22,Illegal Parking,11385
59670199,2023-12-07 23:27:04,Noise - Residential,10065
59672623,2023-12-07 23:26:56,HEAT/HOT WATER,11226
59667239,2023-12-07 23:26:55,Noise - Helicopter,10025
59668196,2023-12-07 23:26:53,HEAT/HOT WATER,10462
59673146,2023-12-07 23:26:45,Noise - Residential,11233
59671583,2023-12-07 23:26:41,Illegal Parking,10471
59673236,2023-12-07 23:26:26,Dirty Condition,11693
59667250,2023-12-07 23:26:07,Noise - Residential,10029
59667507,2023-12-07 23:26:00,Lead,11201
59667491,2023-12-07 23:26:00,Hazardous Materials,11693
59672392,2023-12-07 23:25:54,Noise - Residential,10002
59668709,2023-12-07 23:25:46,Noise - Residential,11432
59668693,2023-12-07 23:24:06,Noise - Helicopter,10025
59675635,2023-12-07 23:23:51,HEAT/HOT WATER,10461
59671661,2023-12-07 23:23:46,Noise - Residential,11233
59667951,2023-12-07 23:23:45,Noise - Residential,10035
59670200,2023-12-07 23:23:33,Noise - Residential,10465
59674625,2023-12-07 23:23:23,Noise - Residential,10065
59665772,2023-12-07 23:23:18,Noise - Residential,11373
59667505,2023-12-07 23:23:00,Industrial Waste,11693
59667152,2023-12-07 23:23:00,Illegal Parking,11208
59673054,2023-12-07 23:22:22,Illegal Parking,11209
59667159,2023-12-07 23:21:31,Illegal Parking,11427
59671635,2023-12-07 23:21:11,Noise - Helicopter,11357
59668523,2023-12-07 23:21:00,Blocked Driveway,11209
59674141,2023-12-07 23:20:52,HEAT/HOT WATER,10030
59666914,2023-12-07 23:20:43,UNSANITARY CONDITION,10026
59671347,2023-12-07 23:20:43,UNSANITARY CONDITION,10026
59671026,2023-12-07 23:20:42,HEAT/HOT WATER,10473
59665125,2023-12-07 23:20:40,HEAT/HOT WATER,11208
59673872,2023-12-07 23:20:39,Noise - Residential,10454
59671527,2023-12-07 23:20:05,Rodent,11372
59667161,2023-12-07 23:19:54,Illegal Parking,11219
59673790,2023-12-07 23:19:29,Noise - Commercial,10019
59668175,2023-12-07 23:19:18,HEAT/HOT WATER,11220
59675490,2023-12-07 23:19:07,HEAT/HOT WATER,10453
59667241,2023-12-07 23:19:04,Noise - Residential,11229
59671662,2023-12-07 23:18:55,Noise - Street/Sidewalk,11237
59676012,2023-12-07 23:18:37,Illegal Parking,11429
59672717,2023-12-07 23:18:33,HEAT/HOT WATER,11207
59666569,2023-12-07 23:18:28,HEAT/HOT WATER,11368
59674087,2023-12-07 23:18:25,HEAT/HOT WATER,10024
59672603,2023-12-07 23:18:09,HEAT/HOT WATER,10040
59667157,2023-12-07 23:17:52,Illegal Parking,11214
59674747,2023-12-07 23:17:46,Missed Collection,11367
59670841,2023-12-07 23:17:38,Noise - Commercial,10014
59670176,2023-12-07 23:17:35,Noise - Helicopter,11238
59667516,2023-12-07 23:17:00,Noise,10453
59675592,2023-12-07 23:16:58,HEAT/HOT WATER,11203
59674095,2023-12-07 23:16:54,HEAT/HOT WATER,10452
59665176,2023-12-07 23:16:52,HEAT/HOT WATER,10034
59668711,2023-12-07 23:16:51,Noise - Residential,11420
59666756,2023-12-07 23:16:50,HEAT/HOT WATER,10456
59670010,2023-12-07 23:16:31,Blocked Driveway,11436
59666115,2023-12-07 23:16:29,Illegal Parking,11218
59667150,2023-12-07 23:16:24,Illegal Parking,11385
59671590,2023-12-07 23:15:54,Noise - Commercial,11435
59665765,2023-12-07 23:15:47,Noise - Helicopter,10025
59665769,2023-12-07 23:15:45,Noise - Residential,11693
59673797,2023-12-07 23:15:04,Noise - Commercial,11226
59667158,2023-12-07 23:15:02,Illegal Parking,11214
59674730,2023-12-07 23:14:58,Illegal Dumping,11207
59665734,2023-12-07 23:14:33,Noise - Helicopter,11238
59665777,2023-12-07 23:14:31,Noise - Street/Sidewalk,11420
59668559,2023-12-07 23:14:04,Indoor Air Quality,11385
59667364,2023-12-07 23:13:35,Missed Collection,11367
59675556,2023-12-07 23:13:28,HEAT/HOT WATER,10457
59672859,2023-12-07 23:13:23,UNSANITARY CONDITION,10036
59675644,2023-12-07 23:13:13,HEAT/HOT WATER,11373
59673150,2023-12-07 23:12:33,Noise - Vehicle,11103
59669453,2023-12-07 23:11:59,Noise - Vehicle,11368
59670125,2023-12-07 23:11:24,Noise - Commercial,11237
59676018,2023-12-07 23:11:24,Noise - Commercial,11233
59670193,2023-12-07 23:11:04,Noise - Residential,11693
59667517,2023-12-07 23:11:00,Noise,10035
59671592,2023-12-07 23:10:59,Noise - Commercial,11249
59675915,2023-12-07 23:10:57,Blocked Driveway,11105
59676026,2023-12-07 23:10:54,Noise - Helicopter,11238
59674667,2023-12-07 23:10:40,Outdoor Dining,11213
59674189,2023-12-07 23:10:36,HEAT/HOT WATER,11213
59667977,2023-12-07 23:10:33,Noise - Vehicle,10033
59667480,2023-12-07 23:10:28,Illegal Parking,11360
59674018,2023-12-07 23:10:20,HEAT/HOT WATER,10026
59669542,2023-12-07 23:10:14,HEAT/HOT WATER,11435
59672521,2023-12-07 23:10:04,HEAT/HOT WATER,11221
59671594,2023-12-07 23:10:04,Noise - Commercial,10002
59673049,2023-12-07 23:10:04,Illegal Parking,11419
59674072,2023-12-07 23:10:03,HEAT/HOT WATER,10467
59673053,2023-12-07 23:10:01,Illegal Parking,11385
59674142,2023-12-07 23:09:31,HEAT/HOT WATER,11372
59666709,2023-12-07 23:09:18,HEAT/HOT WATER,10467
59666711,2023-12-07 23:09:14,HEAT/HOT WATER,11372
59671814,2023-12-07 23:09:10,Illegal Parking,11249
59668185,2023-12-07 23:09:01,HEAT/HOT WATER,11377
59672292,2023-12-07 23:09:00,Traffic Signal Condition,00nan
59672310,2023-12-07 23:08:35,Noise - Commercial,11204
59670210,2023-12-07 23:08:19,Non-Emergency Police Matter,10466
59665701,2023-12-07 23:07:56,Illegal Parking,11355
59665768,2023-12-07 23:07:34,Noise - House of Worship,11385
59671242,2023-12-07 23:07:30,HEAT/HOT WATER,10002
59665490,2023-12-07 23:07:28,WATER LEAK,10009
59671066,2023-12-07 23:07:25,HEAT/HOT WATER,11226
59673050,2023-12-07 23:07:22,Illegal Parking,11373
59667223,2023-12-07 23:07:15,Noise - Helicopter,11215
59671248,2023-12-07 23:07:09,HEAT/HOT WATER,11372
59673044,2023-12-07 23:06:48,Illegal Parking,10031
59665696,2023-12-07 23:06:47,Illegal Parking,11434
59665710,2023-12-07 23:06:16,Mobile Food Vendor,11228
59674748,2023-12-07 23:06:10,Missed Collection,11367
59675239,2023-12-07 23:05:59,Noise - Commercial,11225
59669432,2023-12-07 23:05:57,Noise - Residential,10456
59673061,2023-12-07 23:05:40,Lost Property,10016
59669428,2023-12-07 23:05:38,Noise - Residential,11215
59666800,2023-12-07 23:05:34,HEAT/HOT WATER,10468
59673051,2023-12-07 23:05:26,Illegal Parking,11373
59669401,2023-12-07 23:05:19,Noise - Residential,10457
59664708,2023-12-07 23:05:07,Illegal Parking,11205
59667043,2023-12-07 23:05:07,Abandoned Vehicle,10301
59672321,2023-12-07 23:04:48,Noise - Commercial,11225
59675916,2023-12-07 23:04:46,Blocked Driveway,11208
59665703,2023-12-07 23:04:29,Illegal Parking,11385
59675567,2023-12-07 23:04:22,HEAT/HOT WATER,11238
59674143,2023-12-07 23:04:16,HEAT/HOT WATER,10026
59674117,2023-12-07 23:04:14,HEAT/HOT WATER,11210
59674321,2023-12-07 23:03:57,WATER LEAK,11203
59666510,2023-12-07 23:03:57,DOOR/WINDOW,11203
59666519,2023-12-07 23:03:57,DOOR/WINDOW,11203
59671402,2023-12-07 23:03:57,DOOR/WINDOW,11203
59668004,2023-12-07 23:03:57,DOOR/WINDOW,11203
59668268,2023-12-07 23:03:52,HEAT/HOT WATER,10468
59675453,2023-12-07 23:03:49,HEAT/HOT WATER,11219
59675352,2023-12-07 23:03:49,Animal in a Park,11206
59664605,2023-12-07 23:03:46,Illegal Parking,11226
59664969,2023-12-07 23:03:37,Noise - Residential,10457
59670105,2023-12-07 23:03:36,Illegal Parking,11373
59672551,2023-12-07 23:03:28,HEAT/HOT WATER,11372
59674598,2023-12-07 23:03:27,Noise - Helicopter,11238
59668631,2023-12-07 23:03:27,Illegal Parking,11235
59675351,2023-12-07 23:02:53,Animal in a Park,11360
59664967,2023-12-07 23:02:39,Noise - Residential,10019
59665609,2023-12-07 23:02:13,Taxi Report,10036
59670530,2023-12-07 23:02:11,Illegal Parking,11225
59673822,2023-12-07 23:02:05,Noise - Residential,11249
59667935,2023-12-07 23:02:04,Noise - Residential,11225
59667902,2023-12-07 23:02:00,Noise - Residential,11249
59667253,2023-12-07 23:01:58,Noise - Residential,11432
59675322,2023-12-07 23:01:53,Noise - Residential,10027
59667895,2023-12-07 23:01:45,Noise - Residential,11201
59667870,2023-12-07 23:01:42,Noise - Commercial,10021
59675265,2023-12-07 23:01:32,Noise - Residential,11201
59665606,2023-12-07 23:01:25,Blocked Driveway,11385
59666397,2023-12-07 23:01:17,Noise - Residential,10027
59668944,2023-12-07 23:01:05,Illegal Parking,11205
59675257,2023-12-07 23:01:00,Noise - Residential,10027
59664951,2023-12-07 23:00:41,Noise - Residential,10017
59670959,2023-12-07 23:00:35,Non-Emergency Police Matter,11375
59674346,2023-12-07 23:00:27,APPLIANCE,10451
59674552,2023-12-07 23:00:11,Noise - Helicopter,11357
59669647,2023-12-07 23:00:11,HEAT/HOT WATER,10025
59665204,2023-12-07 23:00:06,HEAT/HOT WATER,10459
59672554,2023-12-07 23:00:03,HEAT/HOT WATER,10467
59665256,2023-12-07 23:00:03,HEAT/HOT WATER,11218
59672010,2023-12-07 23:00:02,Illegal Parking,11235
59675254,2023-12-07 23:00:02,Noise - Residential,10031
59667336,2023-12-07 23:00:00,Adopt-A-Basket,11367
59674205,2023-12-07 22:59:58,PAINT/PLASTER,10040
59670990,2023-12-07 22:59:58,ELECTRIC,10040
59671281,2023-12-07 22:59:58,PAINT/PLASTER,10040
59674043,2023-12-07 22:59:58,HEAT/HOT WATER,10040
59665028,2023-12-07 22:59:58,ELECTRIC,10040
59669838,2023-12-07 22:59:58,UNSANITARY CONDITION,10040
59666946,2023-12-07 22:59:58,WATER LEAK,10040
59666928,2023-12-07 22:59:58,UNSANITARY CONDITION,10040
59667953,2023-12-07 22:59:47,Noise - Residential,11233
59667151,2023-12-07 22:59:44,Illegal Parking,11385
59674531,2023-12-07 22:59:39,Illegal Parking,11360
59675690,2023-12-07 22:59:27,HEAT/HOT WATER,10452
59666764,2023-12-07 22:59:23,HEAT/HOT WATER,10034
59672412,2023-12-07 22:59:22,Noise - Street/Sidewalk,10018
59666734,2023-12-07 22:59:19,HEAT/HOT WATER,10027
59671401,2023-12-07 22:59:00,Water System,10457
59664522,2023-12-07 22:59:00,Industrial Waste,10467
59666401,2023-12-07 22:58:44,Noise - Residential,10457
59666385,2023-12-07 22:58:39,Noise - Commercial,10019
59673149,2023-12-07 22:58:17,Noise - Vehicle,11419
59667153,2023-12-07 22:58:10,Illegal Parking,11377
59670901,2023-12-07 22:58:01,Noise - Residential,10029
59666421,2023-12-07 22:57:56,Noise - Residential,11221
59668520,2023-12-07 22:57:48,Blocked Driveway,11368
59666432,2023-12-07 22:57:39,Noise - Residential,10040
59669368,2023-12-07 22:57:30,Noise - Residential,10001
59665744,2023-12-07 22:57:17,Noise - Helicopter,10025
59672366,2023-12-07 22:57:16,Noise - Residential,10452
59675921,2023-12-07 22:57:14,Blocked Driveway,10463
59664974,2023-12-07 22:57:11,Noise - Residential,10452
59674403,2023-12-07 22:57:06,Abandoned Vehicle,10473
59673056,2023-12-07 22:56:35,Illegal Parking,11412
59665343,2023-12-07 22:56:17,PAINT/PLASTER,10463
59669790,2023-12-07 22:56:17,PAINT/PLASTER,10463
59666539,2023-12-07 22:56:17,FLOORING/STAIRS,10463
59669779,2023-12-07 22:56:17,PAINT/PLASTER,10463
59665358,2023-12-07 22:56:17,PAINT/PLASTER,10463
59666862,2023-12-07 22:56:17,PLUMBING,11233
59675417,2023-12-07 22:56:17,GENERAL,10463
59675744,2023-12-07 22:56:17,PLUMBING,11233
59664957,2023-12-07 22:56:09,Noise - Residential,10027
59671663,2023-12-07 22:56:08,Noise - Vehicle,10018
59667518,2023-12-07 22:56:00,Noise,11435
59669680,2023-12-07 22:55:53,HEAT/HOT WATER,11217
59670311,2023-12-07 22:55:43,Dirty Condition,11235
59676006,2023-12-07 22:55:41,Illegal Parking,11420
59665117,2023-12-07 22:55:38,HEAT/HOT WATER,10462
59674524,2023-12-07 22:55:37,Illegal Parking,10461
59673776,2023-12-07 22:55:30,Noise - Commercial,11373
59669052,2023-12-07 22:55:30,Illegal Parking,11226
59667873,2023-12-07 22:55:26,Noise - Commercial,11373
59666459,2023-12-07 22:55:25,Noise - Residential,11233
59666369,2023-12-07 22:55:17,Noise - Commercial,11204
59672410,2023-12-07 22:55:13,Noise - Street/Sidewalk,10033
59675336,2023-12-07 22:54:57,Noise - Vehicle,10016
59676083,2023-12-07 22:54:54,Noise - Residential,11106
59669345,2023-12-07 22:54:40,Noise - Commercial,11373
59665700,2023-12-07 22:54:38,Illegal Parking,11205
59667708,2023-12-07 22:54:34,Noise - Residential,11226
59670209,2023-12-07 22:54:03,Noise - Vehicle,11413
59672336,2023-12-07 22:53:52,Noise - Residential,10023
59675234,2023-12-07 22:53:52,Noise - Commercial,11373
59669340,2023-12-07 22:53:48,Noise - Commercial,11373
59669429,2023-12-07 22:53:37,Noise - Residential,10452
59668626,2023-12-07 22:53:36,Illegal Parking,11428
59666434,2023-12-07 22:53:20,Noise - Residential,11233
59667639,2023-12-07 22:53:17,Illegal Parking,11365
59667168,2023-12-07 22:53:15,Maintenance or Facility,11101
59664560,2023-12-07 22:53:00,Water System,11434
59670844,2023-12-07 22:52:56,Noise - Commercial,11373
59675229,2023-12-07 22:52:54,Noise - Commercial,11373
59675584,2023-12-07 22:52:40,HEAT/HOT WATER,10462
59669587,2023-12-07 22:52:39,HEAT/HOT WATER,10032
59666901,2023-12-07 22:52:36,UNSANITARY CONDITION,10031
59675715,2023-12-07 22:52:36,PAINT/PLASTER,10031
59668130,2023-12-07 22:52:23,HEAT/HOT WATER,10035
59674306,2023-12-07 22:52:19,UNSANITARY CONDITION,10024
59667934,2023-12-07 22:52:00,Noise - Residential,10065
59667383,2023-12-07 22:51:40,Illegal Parking,11209
59671675,2023-12-07 22:51:39,Street Condition,10003
59669435,2023-12-07 22:51:33,Noise - Residential,10453
59664895,2023-12-07 22:51:32,Noise - Commercial,11215
59669343,2023-12-07 22:51:32,Noise - Commercial,11373
59667866,2023-12-07 22:51:21,Noise - Commercial,11373
59673581,2023-12-07 22:51:13,Illegal Parking,10314
59673787,2023-12-07 22:50:56,Noise - Commercial,11215
59664880,2023-12-07 22:50:41,Noise - Commercial,11101
59665186,2023-12-07 22:50:26,HEAT/HOT WATER,10462
59672314,2023-12-07 22:50:23,Noise - Commercial,11373
59667242,2023-12-07 22:50:18,Noise - Residential,10473
59664881,2023-12-07 22:50:16,Noise - Commercial,11373
59667896,2023-12-07 22:50:01,Noise - Residential,11377
59671102,2023-12-07 22:50:01,HEAT/HOT WATER,10040
59673489,2023-12-07 22:49:56,Illegal Parking,11419
59669352,2023-12-07 22:49:47,Noise - Commercial,11103
59667954,2023-12-07 22:49:35,Noise - Residential,11233
59668234,2023-12-07 22:49:29,HEAT/HOT WATER,11238
59669751,2023-12-07 22:49:20,HEAT/HOT WATER,10467
59668715,2023-12-07 22:49:10,Noise - Residential,11222
59675527,2023-12-07 22:49:07,HEAT/HOT WATER,11221
59675365,2023-12-07 22:49:07,APPLIANCE,11221
59666788,2023-12-07 22:49:06,HEAT/HOT WATER,10467
59664913,2023-12-07 22:49:03,Noise - Residential,10468
59673762,2023-12-07 22:49:00,Traffic Signal Condition,11218
59669596,2023-12-07 22:48:56,HEAT/HOT WATER,11226
59674469,2023-12-07 22:48:51,Rodent,11216
59665326,2023-12-07 22:48:42,HEAT/HOT WATER,10453
59667865,2023-12-07 22:48:41,Noise - Commercial,11373
59665144,2023-12-07 22:48:40,HEAT/HOT WATER,10030
59666482,2023-12-07 22:48:39,Noise - Vehicle,10016
59673811,2023-12-07 22:48:38,Noise - Residential,11229
59668849,2023-12-07 22:48:33,Illegal Parking,11209
59674553,2023-12-07 22:48:29,Noise - Helicopter,11357
59669832,2023-12-07 22:48:27,UNSANITARY CONDITION,10022
59673779,2023-12-07 22:48:27,Noise - Commercial,11206
59672320,2023-12-07 22:48:23,Noise - Commercial,11373
59672426,2023-12-07 22:48:22,Noise - Vehicle,10016
59672379,2023-12-07 22:47:43,Noise - Residential,10003
59674541,2023-12-07 22:47:40,Noise - Commercial,11216
59676080,2023-12-07 22:47:37,Noise - Residential,11693
59664725,2023-12-07 22:47:26,Noise - Vehicle,10018
59673228,2023-12-07 22:47:06,Dirty Condition,11354
59667867,2023-12-07 22:46:45,Noise - Commercial,11373
59675917,2023-12-07 22:46:43,Blocked Driveway,11229
59666372,2023-12-07 22:46:33,Noise - Commercial,11373
59673599,2023-12-07 22:45:56,Noise - Residential,10456
59668678,2023-12-07 22:45:47,Noise - Helicopter,10025
59674037,2023-12-07 22:45:33,HEAT/HOT WATER,10452
59671537,2023-12-07 22:45:20,Street Condition,11209
59669339,2023-12-07 22:45:20,Noise - Commercial,11373
59669371,2023-12-07 22:45:16,Noise - Residential,11377
59666669,2023-12-07 22:45:13,HEAT/HOT WATER,11377
59666740,2023-12-07 22:45:12,HEAT/HOT WATER,11377
59664886,2023-12-07 22:45:09,Noise - Commercial,11373
59667149,2023-12-07 22:45:04,Illegal Parking,11105
59669369,2023-12-07 22:44:57,Noise - Residential,11229
59673862,2023-12-07 22:44:54,Noise - Residential,10039
59674434,2023-12-07 22:44:52,Food Establishment,11378
59675238,2023-12-07 22:44:38,Noise - Commercial,10011
59664897,2023-12-07 22:44:32,Noise - Commercial,10458
59671580,2023-12-07 22:44:19,Illegal Parking,11214
59670846,2023-12-07 22:44:10,Noise - Commercial,11373
59664887,2023-12-07 22:44:04,Noise - Commercial,11373
59666373,2023-12-07 22:43:03,Noise - Commercial,10001
59670898,2023-12-07 22:42:53,Noise - Residential,10034
